model,model_display_name,question_id,type,question,gold_answer,gold_answer_text,predicted_answer,predicted_answer_text,model_response
zhongjing,仲景,76,方剂名匹配主治病症,方剂“除湿胃苓汤”对应的治疗病症是下列哪一项？,C,带状疱疹（湿盛型缠腰火丹)，湿疹（湿疡)，牛皮癣（湿寒性白疕)，缠腰火丹。水泡大小不等，其色黄白，破烂流水，痛甚。,B,虚寒痢。下痢不止，便脓血，色黯不鲜，日久不愈，腹痛喜温喜按，舌淡苔白，脉迟弱或微细。,B
zhongjing,仲景,77,方剂名匹配主治病症,方剂“五苓散”对应的治疗病症是下列哪一项？,C,1．治太阳病发汗后，大汗出，胃中干，烦躁不得眠，欲饮水者，少少与之，令胃气和则愈。若脉浮，小便不利，微热消渴者，此汤主之。 2．及中风发热，六、七日不解而烦，有表里证，渴欲饮水，水入即吐，名曰水逆。 3．及伤寒痞满，服泻心汤不解，渴而烦躁，小便不利。 4．通治诸湿腹满，水饮水肿，呕逆泄泻，水寒射肺，或喘或欬，中暑烦渴，身热头痛，膀胱积热，便秘而渴，霍乱吐泻，痰饮湿疟，身痛身重。 【临床运用】 1．本方为利水之剂，所治诸证以小便不利，舌苔白，脉浮或缓为证治要点。 2．若水肿兼有表证者，可与越婢汤合用；水湿壅盛者，可与五皮散合用；泄泻偏于热者，须去桂枝，加车前子、木通以利水清热。 3．常用于肾炎、肝硬化所引起的水肿，以及急性肠炎、尿潴留、脑积水等，属水湿内盛者。,A,梅核气：咽中如有物阻，咯吐不出，吞咽不下，胸膈满闷，或咳或呕，舌苔白润或白腻，脉弦缓或弦滑。,A
zhongjing,仲景,78,方剂名匹配主治病症,方剂“桂枝加芍药汤”对应的治疗病症是下列哪一项？,A,太阳病误下伤中，土虚木乘之腹痛。,B,脾虚湿盛证。饮食不化，胸脘痞闷，肠鸣泄泻，四肢乏力，形体消瘦，面色萎黄，舌淡苔白腻，脉虚缓。 本方常用于慢性胃肠炎、贫血、慢性支气管炎、慢性肾炎以及妇女带下病等属脾虚湿盛者。,B
zhongjing,仲景,79,方剂名匹配主治病症,方剂“二至丸”对应的治疗病症是下列哪一项？,D,补肾强腰。主老人或虚弱人，肾气虚损，腰痛不可屈伸，及肾阳亏虚诸证。,A,回阳。用于伤寒下之后，复发汗。昼日烦躁不得眠，夜而安静，不呕不渴；无表证，脉沉微，身无大热者。,A
zhongjing,仲景,80,方剂名匹配主治病症,方剂“防己茯苓汤”对应的治疗病症是下列哪一项？,D,益气健脾，温阳利水。主治皮水。四肢肿，水气在皮肤中，四肢肌肉晌动。,A,下焦热结。症见血淋尿血，小便频数、赤涩热痛、舌红、脉数。,A
zhongjing,仲景,81,方剂名匹配主治病症,方剂“清脾饮”对应的治疗病症是下列哪一项？,B,妊娠疟症，热多寒少。,C,脾虚肝旺之痛泻。肠鸣腹痛，大便泄泻，泻必腹痛，泻后痛缓（或泻后仍腹痛），舌苔薄白，脉两关不调，左弦而右缓者。,C
zhongjing,仲景,82,方剂名匹配主治病症,方剂“泽泻散”对应的治疗病症是下列哪一项？,C,治妊娠气壅，身体腹胁浮肿，气喘息促，大便难，小便涩。,A,瘀血挟风湿，经络痹阻，肩痛、臂痛、腰腿痛，或周身疼痛，经久不愈者。 【各家论述】 《医林改错注释》：方中秦艽、羌活祛风除湿，桃仁、红花、当归、川芎活血祛瘀，没药、灵脂、香附行气血，止疼痛，牛膝、地龙疏通经络以利关节，甘草调和诸药。,A
zhongjing,仲景,83,方剂名匹配主治病症,方剂“磁朱丸”对应的治疗病症是下列哪一项？,B,心肾不交证。视物昏花，耳鸣耳聋，心悸失眠，亦治癫痫。,A,主治伤寒往来寒热，胸胁苦满，烦躁惊狂不安，时有谵语，身重难以转侧，现用于癫痫、神经官能症、美尼尔氏综合征以及高血压病等见有胸满烦惊为主证者。 【方论】 方中柴胡、桂枝、黄芩和里解外，以治寒热往来、身重；龙骨、牡蛎、铅丹重镇安神，以治烦躁惊狂；半夏、生姜和胃降逆；大黄泻里热，和胃气；茯苓安心神，利小便；人参、大枣益气养营，扶正祛邪。共成和解清热，镇惊安神之功。,A
zhongjing,仲景,84,方剂名匹配主治病症,方剂“甘草泻心汤”对应的治疗病症是下列哪一项？,D,胃气虚弱痞证。下利日数十行，谷不化，腹中雷鸣，心下痞硬而满，干呕，心烦不得安。,A,津枯肠燥证。大便艰难，以及年老和产后血虚便秘，舌燥少津，脉细涩。,A
zhongjing,仲景,85,方剂名匹配主治病症,方剂“芍药汤”对应的治疗病症是下列哪一项？,B,湿热痢疾。腹痛，便脓血，赤白相兼，里急后重，肛门灼热，小便短赤，舌苔黄腻，脉弦数。,A,消食和胃。主食积停滞，胸脘痞满，腹胀时痛，嗳腐吞酸，恶食，或呕吐泄泻，脉滑，舌苔厚腻或黄。,A
zhongjing,仲景,86,方剂名匹配主治病症,方剂“升麻葛根汤”对应的治疗病症是下列哪一项？,B,麻疹初起。疹发不出，身热头痛，咳嗽，目赤流泪，口渴，舌红，苔薄而干，脉浮数。（本方除用治麻疹外，亦治带状疱疹、单纯性疮疹、水痘、腹泻、急性细菌性痢疾等属邪郁肌表，肺胃有热者。）,A,温疫或疟疾，邪伏膜原证。憎寒壮热，或一日三次，或一日一次，发无定时，胸闷呕恶，头痛烦躁，脉弦数，舌边深红，舌苔垢腻，或苔白厚如积粉。（本方常用于疟疾、流行性感冒、病毒性脑炎属温热疫毒伏于膜原者。）,A
zhongjing,仲景,88,方剂名匹配主治病症,方剂“风引汤”对应的治疗病症是下列哪一项？,B,癫痫、风瘫。突然仆卧倒地，筋脉拘急，两目上视，喉中痰鸣，神志不清，舌红苔黄腻，脉滑者。,A,痰热互结证。胸脘痞闷，按之则痛，或咳痰黄稠，舌苔黄腻，脉滑数。,A
zhongjing,仲景,90,方剂名匹配主治病症,方剂“针头丸”对应的治疗病症是下列哪一项？,B,治目赤，疼痛不可忍者。,D,伤寒汗后，胃阳虚弱，水饮内停，心下痞硬，肠鸣下利；妊娠恶阻，噤口痢。现用于胃下垂、胃扩张、慢性胃炎等属胃阳虚弱，水饮内停者。,D
zhongjing,仲景,91,方剂名匹配主治病症,方剂“人参蛤蚧散”对应的治疗病症是下列哪一项？,C,久咳气喘，痰稠色黄，或咳吐脓血，胸中烦热，身体日渐消瘦，或面目浮肿，脉浮虚，或日久成为肺痨。,A,主妇人妊娠，肝郁气滞，脾虚湿胜，腹中疠痛。现用于妇女功能性水肿、慢性盆腔炎、功能性子宫出血、痛经、妊娠阑尾炎，以及慢性肾炎、肝硬化腹水、脾功能亢进等属脾虚肝郁者。,A
zhongjing,仲景,92,方剂名匹配主治病症,方剂“桃花汤”对应的治疗病症是下列哪一项？,B,虚寒痢。下痢不止，便脓血，色黯不鲜，日久不愈，腹痛喜温喜按，舌淡苔白，脉迟弱或微细。,A,小儿肺虚有热证。咳嗽气喘，咽喉干燥，咯痰不多，或痰中带血，舌红少苔，脉细数。,A
zhongjing,仲景,93,方剂名匹配主治病症,方剂“百合鸡子汤”对应的治疗病症是下列哪一项？,B,百合病，误吐之后，虚烦不安者。,A,心火偏旺，气阴两虚，湿热下注证。症见遗精淋浊，血崩带下，遇劳则发；或肾阴不足，口舌干燥，烦躁发热等。,A
zhongjing,仲景,94,方剂名匹配主治病症,方剂“乌梅丸”对应的治疗病症是下列哪一项？,C,胃热肠寒的蛔厥证。症见腹痛时作，烦闷呕吐，得食则呕，甚至呕出蛔虫，手足厥冷，亦可治久痢及反胃呕吐。,A,伤寒8-9日，风湿相搏，身体疼烦，不能自转侧，不呕不渴，脉浮虚而涩者。恶寒发热，四肢掣痛，难以屈伸，或心下悸，或脐下悸。,A
zhongjing,仲景,96,方剂名匹配主治病症,方剂“丹参饮”对应的治疗病症是下列哪一项？,D,血瘀气滞，心胃诸痛。,A,肝脾血虚发热，或潮热晡热，或自汗盗汗，或头痛目涩，或怔忡不宁，或颊赤口干，或月经不调，或肚腹作痛，或小腹重坠，水道涩痛，或肿痛出脓，内热作渴。,A
zhongjing,仲景,99,方剂名匹配主治病症,方剂“理中化痰丸”对应的治疗病症是下列哪一项？,B,脾胃虚寒，痰饮内停，症见咳嗽痰多，自利腹痛，四肢不温，畏寒怕冷，或呕吐少食，饮食难化。,A,伤寒阳明热盛，或温病热在气分证。壮热面赤，烦渴引饮，口舌干燥，大汗出，脉洪大有力，现用于流行性乙型脑炎、流行性脑脊髓膜炎、大叶性肺炎，夏季热等属于热在气分者。 【方论】 方中知母、石膏清肺胃之热而除烦渴；甘草、粳米益气生津、养胃和中。四味合用，共收清热生津之功。,A
